DEPTH,GR ,PEFZ,RT_HRLT ,RHOZ,TNPH,DTCO,DTSM_fast,DTSM_slow
ft,GAPI,PE,ohms,g/cc,V/V,ft/s,ft/s,ft/s
11722,77.5984,4.659,1.720995074,2.554,0.0944,71.4442,116.5869,117.2929
11722.5,71.3516,4.7574,1.798154963,2.5615,0.0895,69.1182,114.0332,114.046
11723,65.2125,4.7952,1.850063007,2.5844,0.0942,66.444,112.4302,112.7522
11723.5,60.4504,4.7661,1.870589231,2.6139,0.0927,65.3011,111.8489,112.3158
11724,62.1902,4.6422,1.723165608,2.6218,0.0903,67.4936,112.4428,112.6453
11724.5,73.1653,4.5285,1.431299902,2.596,0.0975,69.6297,114.5473,114.5947
11725,79.7776,4.4452,1.320206751,2.5694,0.113,70.9164,115.6617,115.6852
11725.5,84.8778,4.4286,1.459517028,2.5539,0.1163,72.9893,117.8546,117.9761
11726,85.6463,4.3088,1.349787306,2.55,0.1172,74.0039,120.4524,120.6289
11726.5,89.0753,4.1148,1.248680321,2.5378,0.1315,75.3725,122.9019,123.1426
11727,92.7875,3.928,1.235001925,2.5358,0.1425,75.841,124.385,125.2078
11727.5,96.2984,3.8905,1.284363949,2.5433,0.1453,74.3562,124.8754,125.6256
11728,99.3053,3.9906,1.337912488,2.5472,0.1393,72.9239,124.6523,124.8198
11728.5,101.5449,4.0983,1.341580518,2.535,0.1429,73.8245,124.3092,124.759
11729,103.957,4.0709,1.275176092,2.5148,0.1521,75.1263,125.4306,126.2854
11729.5,106.0603,3.939,1.255595452,2.5058,0.1645,77.4599,128.2112,129.0752
11730,109.8415,3.8306,1.245784757,2.5056,0.1646,79.2434,130.5196,131.2843
11730.5,112.7547,3.8213,1.327461109,2.5083,0.1635,79.5285,131.3607,131.854
11731,112.3626,3.8988,1.455623454,2.5097,0.1598,79.2697,130.0175,130.2539
11731.5,107.3391,4.0401,1.338470837,2.5166,0.1518,77.1097,126.6858,127.1069
11732,97.9609,4.2735,1.294569386,2.5317,0.1392,73.9978,122.9044,123.6319
11732.5,86.9835,4.5509,1.477454086,2.5606,0.1329,70.1846,120.8835,121.6182
11733,79.8567,4.7894,1.49159937,2.5836,0.1191,68.4334,118.5521,119.1453
11733.5,87.4358,5.009,1.603633626,2.5688,0.1139,71.3428,119.1592,119.47
11734,105.9115,5.0124,1.56080348,2.5526,0.1275,75.8777,122.9945,123.4034
11734.5,117.6475,4.9963,1.295593707,2.5445,0.1536,79.0212,128.2364,128.4648
11735,112.0462,4.9394,1.159014349,2.5663,0.1602,76.9328,130.034,130.0739
11735.5,96.8617,4.9076,1.393769934,2.5781,0.1489,73.0276,128.6311,128.9363
11736,88.1103,4.7708,1.519536617,2.5802,0.1656,72.0118,125.4168,126.0828
11736.5,88.9815,4.5045,1.561348408,2.5684,0.1943,73.3117,124.3167,125.1842
11737,98.4044,4.2591,1.609506795,2.5486,0.2326,77.0324,126.8146,127.7862
11737.5,112.2401,4.0763,1.784342224,2.5204,0.2036,80.6442,130.3461,130.8019
11738,124.9158,3.9574,1.73954165,2.5004,0.1782,84.1656,135.448,135.7721
11738.5,132.1013,3.912,1.720054895,2.4849,0.1919,86.4609,139.3859,139.7236
11739,134.2455,3.894,1.791167286,2.4854,0.1984,86.0237,140.4822,140.5635
11739.5,132.9796,3.9664,1.695678728,2.4934,0.197,84.2567,139.5486,140.0487
11740,126.951,4.1623,1.553911291,2.5055,0.1874,80.7402,133.4588,134.3615
11740.5,112.7286,4.4296,1.721161738,2.5221,0.1754,76.2233,128.588,129.6979
11741,93.8589,4.6259,1.853223696,2.5438,0.1617,72.1447,124.3377,125.4229
11741.5,78.9758,4.6695,1.964150359,2.5573,0.1419,70.0854,121.3148,121.8215
11742,73.3808,4.5954,1.948747605,2.5529,0.1321,71.5139,121.4155,121.4784
11742.5,77.4913,4.4954,1.857700224,2.5321,0.1281,74.3924,121.9718,122.0036
11743,83.6684,4.3957,1.912078774,2.5109,0.1422,75.7504,122.8761,122.9053
11743.5,86.5412,4.2995,2.011387722,2.4965,0.1518,75.2825,123.0921,123.9751
11744,86.2228,4.2109,1.966700463,2.4865,0.1499,75.0934,124.1039,125.5195
11744.5,86.9317,4.1505,1.859043559,2.4765,0.1485,76.2652,126.202,127.4369
11745,92.0026,4.1455,1.730600367,2.4665,0.1526,78.5497,128.0975,129.0742
11745.5,98.4542,4.1927,1.62060072,2.4705,0.1623,79.3157,127.2365,128.4628
11746,97.4657,4.384,1.788992112,2.4824,0.1643,75.7853,123.5777,124.7025
11746.5,86.3414,4.6918,2.067697842,2.5216,0.1596,70.6158,118.5335,119.1068
11747,67.1973,5.0848,2.392992243,2.5739,0.1272,64.4101,112.8083,113.8935
11747.5,50.9748,5.3694,2.390168767,2.6272,0.0878,60.9835,111.8443,112.5644
11748,51.4197,5.5667,2.188586536,2.6067,0.0657,64.4023,115.0631,115.4313
11748.5,68.9048,5.3704,1.847830445,2.5485,0.0681,70.4957,121.1079,121.3692
11749,91.3528,4.9097,1.711633814,2.4923,0.1012,77.2682,124.563,125.0149
11749.5,102.9794,4.3518,1.741151126,2.4884,0.1427,80.4705,128.2035,129.044
